100 0.223607
0.142295 0.101639 0.0144628
0.182951 0.0813116 0.014876
0.101639 0.0813116 0.00826446
0.203279 0.203279 0.0413223
0.203279 0.101639 0.0206612
0.182951 0.142295 0.0260331
0.121967 0.0609837 0.00743802
0.0406558 0.121967 0.00495868
0.0609837 0.162623 0.00991736
0.203279 0.0203279 0.00413223
0.0813116 0.0203279 0.00165289
0.0813116 0.0406558 0.00330579
0.0203279 0.0609837 0.00123967
0.0406558 0.101639 0.00413223
0.162623 0.121967 0.0198347
0.0609837 0.101639 0.00619835
0.142295 0.0203279 0.00289256
0.182951 0.121967 0.022314
0.0813116 0.0813116 0.00661157
0.0609837 0.203279 0.0123967
0.203279 0.0609837 0.0123967
0.182951 0.101639 0.018595
0.0609837 0.182951 0.011157
0.142295 0.0406558 0.00578512
0.101639 0.0203279 0.00206612
0.0203279 0.0203279 0.000413223
0.121967 0.182951 0.022314
0.0406558 0.182951 0.00743802
0.0813116 0.142295 0.0115702
0.0203279 0.182951 0.00371901
0.0406558 0.0609837 0.00247934
0.0406558 0.0813116 0.00330579
0.0813116 0.0609837 0.00495868
0.101639 0.142295 0.0144628
0.0203279 0.0813116 0.00165289
0.142295 0.182951 0.0260331
0.121967 0.203279 0.0247934
0.0609837 0.0406558 0.00247934
0.142295 0.142295 0.0202479
0.121967 0.0406558 0.00495868
0.182951 0.0406558 0.00743802
0.0203279 0.162623 0.00330579
0.101639 0.121967 0.0123967
0.203279 0.182951 0.0371901
0.0609837 0.142295 0.00867769
0.142295 0.121967 0.0173554
0.0203279 0.142295 0.00289256
0.182951 0.203279 0.0371901
0.162623 0.142295 0.0231405
0.162623 0.0813116 0.0132231
0.121967 0.0813116 0.00991736
0.0203279 0.0406558 0.000826446
0.0203279 0.203279 0.00413223
0.203279 0.0813116 0.0165289
0.121967 0.162623 0.0198347
0.0609837 0.0609837 0.00371901
0.182951 0.0203279 0.00371901
0.0813116 0.162623 0.0132231
0.101639 0.101639 0.0103306
0.182951 0.182951 0.0334711
0.0406558 0.203279 0.00826446
0.121967 0.0203279 0.00247934
0.121967 0.121967 0.014876
0.142295 0.162623 0.0231405
0.0203279 0.101639 0.00206612
0.0406558 0.0203279 0.000826446
0.0813116 0.121967 0.00991736
0.142295 0.0609837 0.00867769
0.0406558 0.0406558 0.00165289
0.162623 0.0406558 0.00661157
0.162623 0.0609837 0.00991736
0.0813116 0.101639 0.00826446
0.0203279 0.121967 0.00247934
0.203279 0.0406558 0.00826446
0.142295 0.0813116 0.0115702
0.142295 0.203279 0.0289256
0.162623 0.162623 0.0264463
0.101639 0.162623 0.0165289
0.0609837 0.0813116 0.00495868
0.182951 0.162623 0.0297521
0.0609837 0.0203279 0.00123967
0.121967 0.142295 0.0173554
0.101639 0.203279 0.0206612
0.162623 0.101639 0.0165289
0.101639 0.0609837 0.00619835
0.203279 0.162623 0.0330579
0.101639 0.182951 0.018595
0.0813116 0.182951 0.014876
0.101639 0.0406558 0.00413223
0.0406558 0.162623 0.00661157
0.203279 0.142295 0.0289256
0.203279 0.121967 0.0247934
0.121967 0.101639 0.0123967
0.0609837 0.121967 0.00743802
0.0406558 0.142295 0.00578512
0.162623 0.182951 0.0297521
0.162623 0.203279 0.0330579
0.182951 0.0609837 0.011157
0.162623 0.0203279 0.00330579
0.0813116 0.203279 0.0165289

0.142049 0.102073 0.014943
0.183264 0.081787 0.0144429
0.101246 0.0809943 0.00783068
0.203114 0.203368 0.0416562
0.203631 0.101476 0.0201796
0.183449 0.142136 0.02609
0.121892 0.0608282 0.00719856
0.0402788 0.122376 0.00498425
0.0608306 0.162465 0.00957132
0.20355 0.0201003 0.00419661
0.0813473 0.0202207 0.00209109
0.0810945 0.0404197 0.00336703
0.0202867 0.0605732 0.00147818
0.0403349 0.101338 0.00429072
0.162633 0.121969 0.0201214
0.0612599 0.101899 0.006031
0.142145 0.0200094 0.00336316
0.183105 0.121919 0.0221292
0.080882 0.0817299 0.00657437
0.0614192 0.203764 0.0124499
0.203182 0.0609985 0.011938
0.18332 0.101186 0.0184819
0.0608858 0.182927 0.0109408
0.142165 0.0406607 0.00554602
0.101628 0.0207559 0.0021116
0.0204366 0.0207915 0.000645416
0.122159 0.183243 0.0222471
0.040615 0.183201 0.00769035
0.081357 0.142147 0.0113126
0.0202823 0.182814 0.00371422
0.0408021 0.0610098 0.00279144
0.0405298 0.0812902 0.00309934
0.0810582 0.0606862 0.00507141
0.101272 0.142363 0.0142198
0.0207654 0.0814455 0.00205579
0.14247 0.182764 0.0261582
0.121734 0.203668 0.0243464
0.0614679 0.0410747 0.00205001
0.142508 0.142631 0.0199911
0.122455 0.0410849 0.0048915
0.183034 0.0409564 0.0079001
0.0199967 0.162309 0.00338441
0.101877 0.121987 0.0127504
0.203407 0.182495 0.0368122
0.0613628 0.142558 0.0085197
0.142135 0.121855 0.0176384
0.0203991 0.141841 0.00311643
0.183036 0.203423 0.0368674
0.162475 0.142668 0.0233374
0.162318 0.0812922 0.0131241
0.121945 0.0815166 0.00989929
0.0202206 0.0410164 0.00101762
0.0198376 0.203185 0.0038878
0.203725 0.0813484 0.0162501
0.121874 0.162808 0.0202452
